addi $t0, $zero, 8            0x20080008  00100000000010000000000000001000
addi $t1, $zero, 4            0x20090004  00100000000010010000000000000100
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
add $t2, $t0, $t1             0x01095020  00000001000010010101000000100000
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
sub $t3, $t0, $t1             0x01095822  00000001000010010101100000100010
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
mul $t4, $t0, $t1             0x01096018  00000001000010010110000000011000
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
and $t5, $t0, $t1             0x01096824  00000001000010010110100000100100
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
or $t6, $t0, $t1              0x01097025  00000001000010010111000000100101
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
sll $t7, $t0, 1               0x00087840  00000000000010000111100001000000
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
srl $s0, $t0, 1               0x00088042  00000000000010001000000001000010
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
sw $t2, 0($zero)              0xAC0A0000  10101100000010100000000000000000
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
lw $s1, 0($zero)              0x8C110000  10001100000100010000000000000000
nop                           0x00000000  00000000000000000000000000000000
nop                           0x00000000  00000000000000000000000000000000
beq $t0, $t0, done            0x11080001  00010001000010000000000000000001
addi $s2, $zero, 99           0x20120063  00100000000100100000000001100011
j end                         0x08000023  00001000000000000000000000100011
addi $s3, $zero, 99           0x20130063  00100000000100110000000001100011
nop                           0x00000000  00000000000000000000000000000000
